SKU,ID,longDescription__default,name__default,category-id,amount,currency,onlineFlag__default,variants,lastModified_date,variation_attributes,size,color,product_kind
883360524306M,883360524306M,66% cotton 30% polyester 4% elastanetwo-button closurefront besom pockets                        dry clean only,Casual Spring Easy Jacket,,295,USD,TRUE,,2025-07-24T13:39:08.000Z,"Size,Color",46,DL0,variant
883360524313M,883360524313M,66% cotton 30% polyester 4% elastanetwo-button closurefront besom pockets                        dry clean only,Casual Spring Easy Jacket,,295,USD,TRUE,,2025-07-24T13:39:07.000Z,"Size,Color",48,DL0,variant
883360524696M,883360524696M,66% cotton 30% polyester 4% elastaneelongated pocketsexposed button closure                        new contentdry clean only,Spring Cotton Shorts,,165,USD,TRUE,,2025-07-24T13:39:07.000Z,"Size,Color",28,DL0,variant
883360524702M,883360524702M,66% cotton 30% polyester 4% elastaneelongated pocketsexposed button closure                        new contentdry clean only,Spring Cotton Shorts,,165,USD,TRUE,,2025-07-24T13:39:08.000Z,"Size,Color",29,DL0,variant
883360524719M,883360524719M,66% cotton 30% polyester 4% elastaneelongated pocketsexposed button closure                        new contentdry clean only,Spring Cotton Shorts,,165,USD,TRUE,,2025-07-24T13:39:08.000Z,"Size,Color",30,DL0,variant
883360524726M,883360524726M,66% cotton 30% polyester 4% elastaneelongated pocketsexposed button closure                        new contentdry clean only,Spring Cotton Shorts,,165,USD,TRUE,,2025-07-24T13:39:07.000Z,"Size,Color",31,DL0,variant
883360524733M,883360524733M,66% cotton 30% polyester 4% elastaneelongated pocketsexposed button closure                        new contentdry clean only,Spring Cotton Shorts,,165,USD,TRUE,,2025-07-24T13:39:07.000Z,"Size,Color",32,DL0,variant
883360524740M,883360524740M,66% cotton 30% polyester 4% elastaneelongated pocketsexposed button closure                        new contentdry clean only,Spring Cotton Shorts,,165,USD,TRUE,,2025-07-24T13:39:08.000Z,"Size,Color",33,DL0,variant
883360524757M,883360524757M,66% cotton 30% polyester 4% elastaneelongated pocketsexposed button closure                        new contentdry clean only,Spring Cotton Shorts,,165,USD,TRUE,,2025-07-24T13:39:08.000Z,"Size,Color",34,DL0,variant
883360524764M,883360524764M,66% cotton 30% polyester 4% elastaneelongated pocketsexposed button closure                        new contentdry clean only,Spring Cotton Shorts,,165,USD,TRUE,,2025-07-24T13:39:08.000Z,"Size,Color",36,DL0,variant
883360524771M,883360524771M,66% cotton 30% polyester 4% elastaneelongated pocketsexposed button closure                        new contentdry clean only,Spring Cotton Shorts,,165,USD,TRUE,,2025-07-24T13:39:08.000Z,"Size,Color",38,DL0,variant
883360524788M,883360524788M,66% cotton 30% polyester 4% elastaneelongated pocketsexposed button closure                        new contentdry clean only,Spring Cotton Shorts,,165,USD,TRUE,,2025-07-24T13:39:07.000Z,"Size,Color",40,DL0,variant
883360524894M,883360524894M,66% cotton 30% polyester 4% elastaneon-seam side entry pocketstwo back besom pockets                    front rise 10 3/4 inchesback rise 15 3/4 inchesleg opening 15 inchesinseam 34 1/4 inchesmeasurements taken from a size 32     dry clean only,Casual Slim Leg Pants,,175,USD,TRUE,,2025-07-10T11:20:40.000Z,"Size,Color",28,DL0,variant
883360524900M,883360524900M,66% cotton 30% polyester 4% elastaneon-seam side entry pocketstwo back besom pockets                    front rise 10 3/4 inchesback rise 15 3/4 inchesleg opening 15 inchesinseam 34 1/4 inchesmeasurements taken from a size 32     dry clean only,Casual Slim Leg Pants,,175,USD,TRUE,,2025-07-10T11:20:40.000Z,"Size,Color",29,DL0,variant
883360524917M,883360524917M,66% cotton 30% polyester 4% elastaneon-seam side entry pocketstwo back besom pockets                    front rise 10 3/4 inchesback rise 15 3/4 inchesleg opening 15 inchesinseam 34 1/4 inchesmeasurements taken from a size 32     dry clean only,Casual Slim Leg Pants,,175,USD,TRUE,,2025-07-10T11:20:40.000Z,"Size,Color",30,DL0,variant
883360524924M,883360524924M,66% cotton 30% polyester 4% elastaneon-seam side entry pocketstwo back besom pockets                    front rise 10 3/4 inchesback rise 15 3/4 inchesleg opening 15 inchesinseam 34 1/4 inchesmeasurements taken from a size 32     dry clean only,Casual Slim Leg Pants,,175,USD,TRUE,,2025-07-10T11:20:40.000Z,"Size,Color",31,DL0,variant
883360524931M,883360524931M,66% cotton 30% polyester 4% elastaneon-seam side entry pocketstwo back besom pockets                    front rise 10 3/4 inchesback rise 15 3/4 inchesleg opening 15 inchesinseam 34 1/4 inchesmeasurements taken from a size 32     dry clean only,Casual Slim Leg Pants,,175,USD,TRUE,,2025-07-10T11:20:40.000Z,"Size,Color",32,DL0,variant
883360524948M,883360524948M,66% cotton 30% polyester 4% elastaneon-seam side entry pocketstwo back besom pockets                    front rise 10 3/4 inchesback rise 15 3/4 inchesleg opening 15 inchesinseam 34 1/4 inchesmeasurements taken from a size 32     dry clean only,Casual Slim Leg Pants,,175,USD,TRUE,,2025-07-10T11:20:40.000Z,"Size,Color",33,DL0,variant
883360524979M,883360524979M,66% cotton 30% polyester 4% elastaneon-seam side entry pocketstwo back besom pockets                    front rise 10 3/4 inchesback rise 15 3/4 inchesleg opening 15 inchesinseam 34 1/4 inchesmeasurements taken from a size 32     dry clean only,Casual Slim Leg Pants,,175,USD,TRUE,,2025-07-10T11:20:40.000Z,"Size,Color",38,DL0,variant
883360524986M,883360524986M,66% cotton 30% polyester 4% elastaneon-seam side entry pocketstwo back besom pockets                    front rise 10 3/4 inchesback rise 15 3/4 inchesleg opening 15 inchesinseam 34 1/4 inchesmeasurements taken from a size 32     dry clean only,Casual Slim Leg Pants,,175,USD,TRUE,,2025-07-10T11:20:40.000Z,"Size,Color",40,DL0,variant
883360525396M,883360525396M,97% cotton 3% elastaneflat frontfront pockets and besom back pockets                        zip fly and covered hook and eye closurefront rise 10 3/4 inchesback rise 15 1/4 inchesleg opening 15 inchesinseam 33 inchesmeasurements taken from a size 32dry clean only,Slim Fit Pants,,175,USD,TRUE,,2025-07-10T11:20:40.000Z,"Size,Color",28,B7H,variant
883360525402M,883360525402M,97% cotton 3% elastaneflat frontfront pockets and besom back pockets                        zip fly and covered hook and eye closurefront rise 10 3/4 inchesback rise 15 1/4 inchesleg opening 15 inchesinseam 33 inchesmeasurements taken from a size 32dry clean only,Slim Fit Pants,,175,USD,TRUE,,2025-07-10T11:20:40.000Z,"Size,Color",29,B7H,variant
701644026721M,701644026721M,These capri leggings were updated with a snap button detail at the bottom of the pant. Great for everyday comfy wear!,Capri Leggings with Snap Button Detail,,54,USD,TRUE,,2025-07-10T11:20:49.000Z,"Size,Color",9SM,JJ169XX,variant
701644026738M,701644026738M,These capri leggings were updated with a snap button detail at the bottom of the pant. Great for everyday comfy wear!,Capri Leggings with Snap Button Detail,,54,USD,TRUE,,2025-07-10T11:20:49.000Z,"Size,Color",9XL,JJ169XX,variant
701644026745M,701644026745M,These capri leggings were updated with a snap button detail at the bottom of the pant. Great for everyday comfy wear!,Capri Leggings with Snap Button Detail,,54,USD,TRUE,,2025-07-10T11:20:49.000Z,"Size,Color",9XS,JJ169XX,variant
701644028091M,701644028091M,We updated our favorite shell with a new color for the season! You will love the way looks.,Pleated Shell,,64,USD,TRUE,,2025-07-10T11:20:49.000Z,"Size,Color",9LG,JJI72XX,variant
701644028107M,701644028107M,We updated our favorite shell with a new color for the season! You will love the way looks.,Pleated Shell,,64,USD,TRUE,,2025-07-10T11:20:49.000Z,"Size,Color",9MD,JJI72XX,variant
701644028114M,701644028114M,We updated our favorite shell with a new color for the season! You will love the way looks.,Pleated Shell,,64,USD,TRUE,,2025-07-10T11:20:49.000Z,"Size,Color",9SM,JJI72XX,variant
701644028121M,701644028121M,We updated our favorite shell with a new color for the season! You will love the way looks.,Pleated Shell,,64,USD,TRUE,,2025-07-10T11:20:49.000Z,"Size,Color",9XL,JJI72XX,variant
701644028350M,701644028350M,What a great casual shirt. The sleeves roll up for a second look. You will love the way this looks! Pair with a Commerce Cloud Store pant for a great look!,Button Front Shirt,,74,USD,TRUE,,2025-07-10T11:20:49.000Z,"Size,Color",9LG,JJI15XX,variant
701644028367M,701644028367M,What a great casual shirt. The sleeves roll up for a second look. You will love the way this looks! Pair with a Commerce Cloud Store pant for a great look!,Button Front Shirt,,74,USD,TRUE,,2025-07-10T11:20:49.000Z,"Size,Color",9MD,JJI15XX,variant
701644028374M,701644028374M,What a great casual shirt. The sleeves roll up for a second look. You will love the way this looks! Pair with a Commerce Cloud Store pant for a great look!,Button Front Shirt,,74,USD,TRUE,,2025-07-10T11:20:49.000Z,"Size,Color",9SM,JJI15XX,variant
701644028381M,701644028381M,What a great casual shirt. The sleeves roll up for a second look. You will love the way this looks! Pair with a Commerce Cloud Store pant for a great look!,Button Front Shirt,,74,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9XL,JJI15XX,variant
701644028619M,701644028619M,This Striped Button Down Shirt is an incredibly versatile blouse.  We love it from nine-to-five and beyond.,Striped Button Down Shirt,,59,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9LG,JJB52A0,variant
701644028626M,701644028626M,This Striped Button Down Shirt is an incredibly versatile blouse.  We love it from nine-to-five and beyond.,Striped Button Down Shirt,,59,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9MD,JJB52A0,variant
701644028633M,701644028633M,This Striped Button Down Shirt is an incredibly versatile blouse.  We love it from nine-to-five and beyond.,Striped Button Down Shirt,,59,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9SM,JJB52A0,variant
701644029852M,701644029852M,If you are looking for something to wear as the weather warms up this cardigan will be perfect.,Drape Front Cardigan,,89,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9LG,JJI15XX,variant
701644029869M,701644029869M,If you are looking for something to wear as the weather warms up this cardigan will be perfect.,Drape Front Cardigan,,89,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9MD,JJI15XX,variant
701644029876M,701644029876M,If you are looking for something to wear as the weather warms up this cardigan will be perfect.,Drape Front Cardigan,,89,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9SM,JJI15XX,variant
701644029883M,701644029883M,If you are looking for something to wear as the weather warms up this cardigan will be perfect.,Drape Front Cardigan,,89,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9XL,JJI15XX,variant
701644029890M,701644029890M,If you are looking for something to wear as the weather warms up this cardigan will be perfect.,Drape Front Cardigan,,89,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9XS,JJI15XX,variant
701644030414M,701644030414M,Our best selling cardigan is updated with applique trim. We love this top from nine-to-five and beyond!,Open Front Cardigan,,79,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9LG,JJ169XX,variant
701644030421M,701644030421M,Our best selling cardigan is updated with applique trim. We love this top from nine-to-five and beyond!,Open Front Cardigan,,79,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9MD,JJ169XX,variant
701644030438M,701644030438M,Our best selling cardigan is updated with applique trim. We love this top from nine-to-five and beyond!,Open Front Cardigan,,79,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9SM,JJ169XX,variant
701644030445M,701644030445M,Our best selling cardigan is updated with applique trim. We love this top from nine-to-five and beyond!,Open Front Cardigan,,79,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9XL,JJ169XX,variant
701644030452M,701644030452M,Our best selling cardigan is updated with applique trim. We love this top from nine-to-five and beyond!,Open Front Cardigan,,79,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9XS,JJ169XX,variant
701644030810M,701644030810M,Take it easy in our printed v-neck pullover great for weekend wear.,Printed V-Neck Pullover,,89,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9LG,JJG94A1,variant
701644030827M,701644030827M,Take it easy in our printed v-neck pullover great for weekend wear.,Printed V-Neck Pullover,,89,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9MD,JJG94A1,variant
701644030834M,701644030834M,Take it easy in our printed v-neck pullover great for weekend wear.,Printed V-Neck Pullover,,89,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9SM,JJG94A1,variant
701644030841M,701644030841M,Take it easy in our printed v-neck pullover great for weekend wear.,Printed V-Neck Pullover,,89,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9XL,JJG94A1,variant
701644030858M,701644030858M,Take it easy in our printed v-neck pullover great for weekend wear.,Printed V-Neck Pullover,,89,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",9XS,JJG94A1,variant
701644031152M,701644031152M,Feel the warm breeze in this versatile printed floral wrap dress. Polish off this look with a great pair of strappy sandals for a night on the town.,Floral Dress,,129,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",010,JJB52A0,variant
701644031183M,701644031183M,Feel the warm breeze in this versatile printed floral wrap dress. Polish off this look with a great pair of strappy sandals for a night on the town.,Floral Dress,,129,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",016,JJB52A0,variant
701644031206M,701644031206M,Feel the warm breeze in this versatile printed floral wrap dress. Polish off this look with a great pair of strappy sandals for a night on the town.,Floral Dress,,129,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",004,JJB52A0,variant
701644031213M,701644031213M,Feel the warm breeze in this versatile printed floral wrap dress. Polish off this look with a great pair of strappy sandals for a night on the town.,Floral Dress,,129,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",006,JJB52A0,variant
701644031220M,701644031220M,Feel the warm breeze in this versatile printed floral wrap dress. Polish off this look with a great pair of strappy sandals for a night on the town.,Floral Dress,,129,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",008,JJB52A0,variant
701644031596M,701644031596M,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,,109,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",010,JJV02XX,variant
701644031602M,701644031602M,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,,109,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",012,JJV02XX,variant
701644031619M,701644031619M,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,,109,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",014,JJV02XX,variant
701644031626M,701644031626M,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,,109,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",016,JJV02XX,variant
701644031640M,701644031640M,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,,109,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",004,JJV02XX,variant
701644031657M,701644031657M,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,,109,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",006,JJV02XX,variant
701644031664M,701644031664M,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,,109,USD,TRUE,,2025-07-10T11:20:37.000Z,"Size,Color",008,JJV02XX,variant
701644064785M,701644064785M,Take it easy in our short sleeve cowl neck shirt great for weekend wear.,Cowl Neck Top,,74,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9MD,JJ6TOXX,variant
701644064792M,701644064792M,Take it easy in our short sleeve cowl neck shirt great for weekend wear.,Cowl Neck Top,,74,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9SM,JJ6TOXX,variant
701644064808M,701644064808M,Take it easy in our short sleeve cowl neck shirt great for weekend wear.,Cowl Neck Top,,74,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9XL,JJ6TOXX,variant
701644065171M,701644065171M,What a perfect dress for business travel. Pack this mock wrap sleek knit dress in a suitcase and it will pop out ready to wear.,Pack-And-Go Dress,,129,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9LG,JJ3WCXX,variant
701644065188M,701644065188M,What a perfect dress for business travel. Pack this mock wrap sleek knit dress in a suitcase and it will pop out ready to wear.,Pack-And-Go Dress,,129,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9MD,JJ3WCXX,variant
701644065195M,701644065195M,What a perfect dress for business travel. Pack this mock wrap sleek knit dress in a suitcase and it will pop out ready to wear.,Pack-And-Go Dress,,129,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9SM,JJ3WCXX,variant
701644065201M,701644065201M,What a perfect dress for business travel. Pack this mock wrap sleek knit dress in a suitcase and it will pop out ready to wear.,Pack-And-Go Dress,,129,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9XL,JJ3WCXX,variant
701644065850M,701644065850M,Our best selling classic skirt is updated with stripes at the bottom for the season!,Long Pleated Skirt,,119,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9LG,JJY94A0,variant
701644065867M,701644065867M,Our best selling classic skirt is updated with stripes at the bottom for the season!,Long Pleated Skirt,,119,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9MD,JJY94A0,variant
701644065874M,701644065874M,Our best selling classic skirt is updated with stripes at the bottom for the season!,Long Pleated Skirt,,119,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9SM,JJY94A0,variant
701644065881M,701644065881M,Our best selling classic skirt is updated with stripes at the bottom for the season!,Long Pleated Skirt,,119,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9XL,JJY94A0,variant
701644065898M,701644065898M,This sleeveless belted cowl neck dress is figure flattering and great with heels.  Pair with a piece of Commerce Cloud Store jewelry for a perfect look.,Sleeveless Belted Cowl Neck Dress,,119,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9LG,JJIX2XX,variant
701644065904M,701644065904M,This sleeveless belted cowl neck dress is figure flattering and great with heels.  Pair with a piece of Commerce Cloud Store jewelry for a perfect look.,Sleeveless Belted Cowl Neck Dress,,119,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9MD,JJIX2XX,variant
701644065911M,701644065911M,This sleeveless belted cowl neck dress is figure flattering and great with heels.  Pair with a piece of Commerce Cloud Store jewelry for a perfect look.,Sleeveless Belted Cowl Neck Dress,,119,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9SM,JJIX2XX,variant
701644065928M,701644065928M,This sleeveless belted cowl neck dress is figure flattering and great with heels.  Pair with a piece of Commerce Cloud Store jewelry for a perfect look.,Sleeveless Belted Cowl Neck Dress,,119,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9XL,JJIX2XX,variant
701644066772M,701644066772M,Long skirts are always a classic look; liven up this Commerce Cloud Store skirt with one of our amazing cardigans and matching tanks.,Long Pencil Skirt,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9LG,JJIX2XX,variant
701644066789M,701644066789M,Long skirts are always a classic look; liven up this Commerce Cloud Store skirt with one of our amazing cardigans and matching tanks.,Long Pencil Skirt,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9MD,JJIX2XX,variant
701644066796M,701644066796M,Long skirts are always a classic look; liven up this Commerce Cloud Store skirt with one of our amazing cardigans and matching tanks.,Long Pencil Skirt,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9SM,JJIX2XX,variant
701644066802M,701644066802M,Long skirts are always a classic look; liven up this Commerce Cloud Store skirt with one of our amazing cardigans and matching tanks.,Long Pencil Skirt,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9XL,JJIX2XX,variant
701644066987M,701644066987M,Exceptionally feminine pleated skirt with elastic waist. Pair with a knit cardigan and pumps for a great career look.,Long Pleated Skirt,,109,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9MD,JJ3WCXX,variant
701644066994M,701644066994M,Exceptionally feminine pleated skirt with elastic waist. Pair with a knit cardigan and pumps for a great career look.,Long Pleated Skirt,,109,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9SM,JJ3WCXX,variant
701644067007M,701644067007M,Exceptionally feminine pleated skirt with elastic waist. Pair with a knit cardigan and pumps for a great career look.,Long Pleated Skirt,,109,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",9XL,JJ3WCXX,variant
701644068233M,701644068233M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",010,JJ2DGXX,variant
701644068240M,701644068240M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",012,JJ2DGXX,variant
701644068257M,701644068257M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",014,JJ2DGXX,variant
701644068264M,701644068264M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",016,JJ2DGXX,variant
701644068271M,701644068271M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",004,JJ2DGXX,variant
701644068288M,701644068288M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",006,JJ2DGXX,variant
701644068295M,701644068295M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",008,JJ2DGXX,variant
701644068301M,701644068301M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",010,JJ3WCXX,variant
701644068318M,701644068318M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",012,JJ3WCXX,variant
701644068325M,701644068325M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",014,JJ3WCXX,variant
701644068332M,701644068332M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",016,JJ3WCXX,variant
701644068349M,701644068349M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",004,JJ3WCXX,variant
701644068356M,701644068356M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",006,JJ3WCXX,variant
701644068363M,701644068363M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",008,JJ3WCXX,variant
701644068370M,701644068370M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",010,JJ7PUXX,variant
701644068387M,701644068387M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",012,JJ7PUXX,variant
701644068394M,701644068394M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",014,JJ7PUXX,variant
701644068400M,701644068400M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",016,JJ7PUXX,variant
701644068417M,701644068417M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,,89,USD,TRUE,,2025-07-10T11:20:38.000Z,"Size,Color",004,JJ7PUXX,variant
701644351113M,701644351113M,A perfect outfit solution is the Commerce Cloud Store cardigan! ,Ribbed Cardigan.,,99,USD,TRUE,,2025-07-10T11:21:30.000Z,"Size,Color",9MD,JJE86XX,variant
701644351120M,701644351120M,A perfect outfit solution is the Commerce Cloud Store cardigan! ,Ribbed Cardigan.,,99,USD,TRUE,,2025-07-10T11:21:30.000Z,"Size,Color",9SM,JJE86XX,variant
701644351137M,701644351137M,A perfect outfit solution is the Commerce Cloud Store cardigan! ,Ribbed Cardigan.,,99,USD,TRUE,,2025-07-10T11:21:30.000Z,"Size,Color",9XL,JJE86XX,variant
701644351144M,701644351144M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,,69,USD,TRUE,,2025-07-10T11:21:30.000Z,"Size,Color",9LG,JJ5AAXX,variant
701644351151M,701644351151M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,,69,USD,TRUE,,2025-07-10T11:21:30.000Z,"Size,Color",9MD,JJ5AAXX,variant
701644351168M,701644351168M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,,69,USD,TRUE,,2025-07-10T11:21:30.000Z,"Size,Color",9SM,JJ5AAXX,variant
701644351175M,701644351175M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,,69,USD,TRUE,,2025-07-10T11:21:30.000Z,"Size,Color",9XL,JJ5AAXX,variant
701644351182M,701644351182M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,,69,USD,TRUE,,2025-07-10T11:21:30.000Z,"Size,Color",9LG,JJE86XX,variant
701644351199M,701644351199M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,,69,USD,TRUE,,2025-07-10T11:21:30.000Z,"Size,Color",9MD,JJE86XX,variant
701644351205M,701644351205M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,,69,USD,TRUE,,2025-07-10T11:21:30.000Z,"Size,Color",9SM,JJE86XX,variant
701644351212M,701644351212M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,,69,USD,TRUE,,2025-07-10T11:21:30.000Z,"Size,Color",9XL,JJE86XX,variant
701644351229M,701644351229M,Look your best in this drape neck dress. Sure to turn heads! ,Drape Neck Dress.,,119,USD,TRUE,,2025-07-10T11:21:30.000Z,"Size,Color",9LG,JJ3WDXX,variant
701644351243M,701644351243M,Look your best in this drape neck dress. Sure to turn heads! ,Drape Neck Dress.,,119,USD,TRUE,,2025-07-10T11:21:30.000Z,"Size,Color",9SM,JJ3WDXX,variant
