SKU,ID,longDescription__default,name__default,category-id,amount,currency,onlineFlag__default,variants,lastModified_date,variation_attributes,size,color,product_kind
701644028374M,701644028374M,What a great casual shirt. The sleeves roll up for a second look. You will love the way this looks! Pair with a Commerce Cloud Store pant for a great look!,Button Front Shirt,lighting,74,USD,TRUE,,27/05/25,"Size,Color",9SM,JJI15XX,variant
701644028381M,701644028381M,What a great casual shirt. The sleeves roll up for a second look. You will love the way this looks! Pair with a Commerce Cloud Store pant for a great look!,Button Front Shirt,holidayCollection,74,USD,TRUE,,27/05/25,"Size,Color",9XL,JJI15XX,variant
701644028619M,701644028619M,This Striped Button Down Shirt is an incredibly versatile blouse.  We love it from nine-to-five and beyond.,Striped Button Down Shirt,holidayCollection,59,USD,TRUE,,27/05/25,"Size,Color",9LG,JJB52A0,variant
701644028626M,701644028626M,This Striped Button Down Shirt is an incredibly versatile blouse.  We love it from nine-to-five and beyond.,Striped Button Down Shirt,holidayCollection,59,USD,TRUE,,27/05/25,"Size,Color",9MD,JJB52A0,variant
701644028633M,701644028633M,This Striped Button Down Shirt is an incredibly versatile blouse.  We love it from nine-to-five and beyond.,Striped Button Down Shirt,holidayCollection,59,USD,TRUE,,27/05/25,"Size,Color",9SM,JJB52A0,variant
701644029852M,701644029852M,If you are looking for something to wear as the weather warms up this cardigan will be perfect.,Drape Front Cardigan,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",9LG,JJI15XX,variant
701644029869M,701644029869M,If you are looking for something to wear as the weather warms up this cardigan will be perfect.,Drape Front Cardigan,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",9MD,JJI15XX,variant
701644029876M,701644029876M,If you are looking for something to wear as the weather warms up this cardigan will be perfect.,Drape Front Cardigan,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",9SM,JJI15XX,variant
701644029883M,701644029883M,If you are looking for something to wear as the weather warms up this cardigan will be perfect.,Drape Front Cardigan,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",9XL,JJI15XX,variant
701644029890M,701644029890M,If you are looking for something to wear as the weather warms up this cardigan will be perfect.,Drape Front Cardigan,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",9XS,JJI15XX,variant
701644030414M,701644030414M,Our best selling cardigan is updated with applique trim. We love this top from nine-to-five and beyond!,Open Front Cardigan,holidayCollection,79,USD,TRUE,,27/05/25,"Size,Color",9LG,JJ169XX,variant
701644030421M,701644030421M,Our best selling cardigan is updated with applique trim. We love this top from nine-to-five and beyond!,Open Front Cardigan,holidayCollection,79,USD,TRUE,,27/05/25,"Size,Color",9MD,JJ169XX,variant
701644030438M,701644030438M,Our best selling cardigan is updated with applique trim. We love this top from nine-to-five and beyond!,Open Front Cardigan,holidayCollection,79,USD,TRUE,,27/05/25,"Size,Color",9SM,JJ169XX,variant
701644030445M,701644030445M,Our best selling cardigan is updated with applique trim. We love this top from nine-to-five and beyond!,Open Front Cardigan,holidayCollection,79,USD,TRUE,,27/05/25,"Size,Color",9XL,JJ169XX,variant
701644030452M,701644030452M,Our best selling cardigan is updated with applique trim. We love this top from nine-to-five and beyond!,Open Front Cardigan,holidayCollection,79,USD,TRUE,,27/05/25,"Size,Color",9XS,JJ169XX,variant
701644030810M,701644030810M,Take it easy in our printed v-neck pullover great for weekend wear.,Printed V-Neck Pullover,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",9LG,JJG94A1,variant
701644030827M,701644030827M,Take it easy in our printed v-neck pullover great for weekend wear.,Printed V-Neck Pullover,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",9MD,JJG94A1,variant
701644030834M,701644030834M,Take it easy in our printed v-neck pullover great for weekend wear.,Printed V-Neck Pullover,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",9SM,JJG94A1,variant
701644030841M,701644030841M,Take it easy in our printed v-neck pullover great for weekend wear.,Printed V-Neck Pullover,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",9XL,JJG94A1,variant
701644030858M,701644030858M,Take it easy in our printed v-neck pullover great for weekend wear.,Printed V-Neck Pullover,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",9XS,JJG94A1,variant
701644031152M,701644031152M,Feel the warm breeze in this versatile printed floral wrap dress. Polish off this look with a great pair of strappy sandals for a night on the town.,Floral Dress,holidayCollection,129,USD,TRUE,,27/05/25,"Size,Color",010,JJB52A0,variant
701644031183M,701644031183M,Feel the warm breeze in this versatile printed floral wrap dress. Polish off this look with a great pair of strappy sandals for a night on the town.,Floral Dress,holidayCollection,129,USD,TRUE,,27/05/25,"Size,Color",016,JJB52A0,variant
701644031206M,701644031206M,Feel the warm breeze in this versatile printed floral wrap dress. Polish off this look with a great pair of strappy sandals for a night on the town.,Floral Dress,holidayCollection,129,USD,TRUE,,27/05/25,"Size,Color",004,JJB52A0,variant
701644031213M,701644031213M,Feel the warm breeze in this versatile printed floral wrap dress. Polish off this look with a great pair of strappy sandals for a night on the town.,Floral Dress,holidayCollection,129,USD,TRUE,,27/05/25,"Size,Color",006,JJB52A0,variant
701644031220M,701644031220M,Feel the warm breeze in this versatile printed floral wrap dress. Polish off this look with a great pair of strappy sandals for a night on the town.,Floral Dress,holidayCollection,129,USD,TRUE,,27/05/25,"Size,Color",008,JJB52A0,variant
701644031596M,701644031596M,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,holidayCollection,109,USD,TRUE,,27/05/25,"Size,Color",010,JJV02XX,variant
701644031602M,701644031602M,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,holidayCollection,109,USD,TRUE,,27/05/25,"Size,Color",012,JJV02XX,variant
701644031619M,701644031619M,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,holidayCollection,109,USD,TRUE,,27/05/25,"Size,Color",014,JJV02XX,variant
701644031626M,701644031626M,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,holidayCollection,109,USD,TRUE,,27/05/25,"Size,Color",016,JJV02XX,variant
701644031640M,701644031640M,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,holidayCollection,109,USD,TRUE,,27/05/25,"Size,Color",004,JJV02XX,variant
701644031657M,701644031657M,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,holidayCollection,109,USD,TRUE,,27/05/25,"Size,Color",006,JJV02XX,variant
701644031664M,701644031664M,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,holidayCollection,109,USD,TRUE,,27/05/25,"Size,Color",008,JJV02XX,variant
701644064785M,701644064785M,Take it easy in our short sleeve cowl neck shirt great for weekend wear.,Cowl Neck Top,holidayCollection,74,USD,TRUE,,27/05/25,"Size,Color",9MD,JJ6TOXX,variant
701644064792M,701644064792M,Take it easy in our short sleeve cowl neck shirt great for weekend wear.,Cowl Neck Top,holidayCollection,74,USD,TRUE,,27/05/25,"Size,Color",9SM,JJ6TOXX,variant
701644064808M,701644064808M,Take it easy in our short sleeve cowl neck shirt great for weekend wear.,Cowl Neck Top,holidayCollection,74,USD,TRUE,,27/05/25,"Size,Color",9XL,JJ6TOXX,variant
701644065171M,701644065171M,What a perfect dress for business travel. Pack this mock wrap sleek knit dress in a suitcase and it will pop out ready to wear.,Pack-And-Go Dress,holidayCollection,129,USD,TRUE,,27/05/25,"Size,Color",9LG,JJ3WCXX,variant
701644065188M,701644065188M,What a perfect dress for business travel. Pack this mock wrap sleek knit dress in a suitcase and it will pop out ready to wear.,Pack-And-Go Dress,holidayCollection,129,USD,TRUE,,27/05/25,"Size,Color",9MD,JJ3WCXX,variant
701644065195M,701644065195M,What a perfect dress for business travel. Pack this mock wrap sleek knit dress in a suitcase and it will pop out ready to wear.,Pack-And-Go Dress,holidayCollection,129,USD,TRUE,,27/05/25,"Size,Color",9SM,JJ3WCXX,variant
701644065201M,701644065201M,What a perfect dress for business travel. Pack this mock wrap sleek knit dress in a suitcase and it will pop out ready to wear.,Pack-And-Go Dress,holidayCollection,129,USD,TRUE,,27/05/25,"Size,Color",9XL,JJ3WCXX,variant
701644065850M,701644065850M,Our best selling classic skirt is updated with stripes at the bottom for the season!,Long Pleated Skirt,holidayCollection,119,USD,TRUE,,27/05/25,"Size,Color",9LG,JJY94A0,variant
701644065867M,701644065867M,Our best selling classic skirt is updated with stripes at the bottom for the season!,Long Pleated Skirt,holidayCollection,119,USD,TRUE,,27/05/25,"Size,Color",9MD,JJY94A0,variant
701644065874M,701644065874M,Our best selling classic skirt is updated with stripes at the bottom for the season!,Long Pleated Skirt,holidayCollection,119,USD,TRUE,,27/05/25,"Size,Color",9SM,JJY94A0,variant
701644065881M,701644065881M,Our best selling classic skirt is updated with stripes at the bottom for the season!,Long Pleated Skirt,holidayCollection,119,USD,TRUE,,27/05/25,"Size,Color",9XL,JJY94A0,variant
701644065898M,701644065898M,This sleeveless belted cowl neck dress is figure flattering and great with heels.  Pair with a piece of Commerce Cloud Store jewelry for a perfect look.,Sleeveless Belted Cowl Neck Dress,holidayCollection,119,USD,TRUE,,27/05/25,"Size,Color",9LG,JJIX2XX,variant
701644065904M,701644065904M,This sleeveless belted cowl neck dress is figure flattering and great with heels.  Pair with a piece of Commerce Cloud Store jewelry for a perfect look.,Sleeveless Belted Cowl Neck Dress,holidayCollection,119,USD,TRUE,,27/05/25,"Size,Color",9MD,JJIX2XX,variant
701644065911M,701644065911M,This sleeveless belted cowl neck dress is figure flattering and great with heels.  Pair with a piece of Commerce Cloud Store jewelry for a perfect look.,Sleeveless Belted Cowl Neck Dress,holidayCollection,119,USD,TRUE,,27/05/25,"Size,Color",9SM,JJIX2XX,variant
701644065928M,701644065928M,This sleeveless belted cowl neck dress is figure flattering and great with heels.  Pair with a piece of Commerce Cloud Store jewelry for a perfect look.,Sleeveless Belted Cowl Neck Dress,holidayCollection,119,USD,TRUE,,27/05/25,"Size,Color",9XL,JJIX2XX,variant
701644066772M,701644066772M,Long skirts are always a classic look; liven up this Commerce Cloud Store skirt with one of our amazing cardigans and matching tanks.,Long Pencil Skirt,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",9LG,JJIX2XX,variant
701644066789M,701644066789M,Long skirts are always a classic look; liven up this Commerce Cloud Store skirt with one of our amazing cardigans and matching tanks.,Long Pencil Skirt,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",9MD,JJIX2XX,variant
701644066796M,701644066796M,Long skirts are always a classic look; liven up this Commerce Cloud Store skirt with one of our amazing cardigans and matching tanks.,Long Pencil Skirt,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",9SM,JJIX2XX,variant
701644066802M,701644066802M,Long skirts are always a classic look; liven up this Commerce Cloud Store skirt with one of our amazing cardigans and matching tanks.,Long Pencil Skirt,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",9XL,JJIX2XX,variant
701644066987M,701644066987M,Exceptionally feminine pleated skirt with elastic waist. Pair with a knit cardigan and pumps for a great career look.,Long Pleated Skirt,holidayCollection,109,USD,TRUE,,27/05/25,"Size,Color",9MD,JJ3WCXX,variant
701644066994M,701644066994M,Exceptionally feminine pleated skirt with elastic waist. Pair with a knit cardigan and pumps for a great career look.,Long Pleated Skirt,holidayCollection,109,USD,TRUE,,27/05/25,"Size,Color",9SM,JJ3WCXX,variant
701644067007M,701644067007M,Exceptionally feminine pleated skirt with elastic waist. Pair with a knit cardigan and pumps for a great career look.,Long Pleated Skirt,holidayCollection,109,USD,TRUE,,27/05/25,"Size,Color",9XL,JJ3WCXX,variant
701644068233M,701644068233M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",010,JJ2DGXX,variant
701644068240M,701644068240M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",012,JJ2DGXX,variant
701644068257M,701644068257M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",014,JJ2DGXX,variant
701644068264M,701644068264M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",016,JJ2DGXX,variant
701644068271M,701644068271M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",004,JJ2DGXX,variant
701644068288M,701644068288M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",006,JJ2DGXX,variant
701644068295M,701644068295M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",008,JJ2DGXX,variant
701644068301M,701644068301M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",010,JJ3WCXX,variant
701644068318M,701644068318M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",012,JJ3WCXX,variant
701644068325M,701644068325M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",014,JJ3WCXX,variant
701644068332M,701644068332M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",016,JJ3WCXX,variant
701644068349M,701644068349M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",004,JJ3WCXX,variant
701644068356M,701644068356M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",006,JJ3WCXX,variant
701644068363M,701644068363M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",008,JJ3WCXX,variant
701644068370M,701644068370M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",010,JJ7PUXX,variant
701644068387M,701644068387M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",012,JJ7PUXX,variant
701644068394M,701644068394M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",014,JJ7PUXX,variant
701644068400M,701644068400M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",016,JJ7PUXX,variant
701644068417M,701644068417M,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Washable Linen Slim Pant,holidayCollection,89,USD,TRUE,,27/05/25,"Size,Color",004,JJ7PUXX,variant
701644351113M,701644351113M,A perfect outfit solution is the Commerce Cloud Store cardigan! ,Ribbed Cardigan.,watches,99,USD,TRUE,,28/05/25,"Size,Color",9MD,JJE86XX,variant
701644351120M,701644351120M,A perfect outfit solution is the Commerce Cloud Store cardigan! ,Ribbed Cardigan.,watches,99,USD,TRUE,,28/05/25,"Size,Color",9SM,JJE86XX,variant
701644351137M,701644351137M,A perfect outfit solution is the Commerce Cloud Store cardigan! ,Ribbed Cardigan.,watches,99,USD,TRUE,,28/05/25,"Size,Color",9XL,JJE86XX,variant
701644351144M,701644351144M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,watches,69,USD,TRUE,,28/05/25,"Size,Color",9LG,JJ5AAXX,variant
701644351151M,701644351151M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,watches,69,USD,TRUE,,28/05/25,"Size,Color",9MD,JJ5AAXX,variant
701644351168M,701644351168M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,watches,69,USD,TRUE,,28/05/25,"Size,Color",9SM,JJ5AAXX,variant
701644351175M,701644351175M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,watches,69,USD,TRUE,,28/05/25,"Size,Color",9XL,JJ5AAXX,variant
701644351182M,701644351182M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,watches,69,USD,TRUE,,28/05/25,"Size,Color",9LG,JJE86XX,variant
701644351199M,701644351199M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,watches,69,USD,TRUE,,28/05/25,"Size,Color",9MD,JJE86XX,variant
701644351205M,701644351205M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,watches,69,USD,TRUE,,28/05/25,"Size,Color",9SM,JJE86XX,variant
701644351212M,701644351212M,We updated our favorite shells with new colors for the season. Pair with a matching Commerce Cloud Store cardigan for a perfect look! ,Scoop Neck Shell.,watches,69,USD,TRUE,,28/05/25,"Size,Color",9XL,JJE86XX,variant
701644351229M,701644351229M,Look your best in this drape neck dress. Sure to turn heads! ,Drape Neck Dress.,watches,119,USD,TRUE,,28/05/25,"Size,Color",9LG,JJ3WDXX,variant
701644351243M,701644351243M,Look your best in this drape neck dress. Sure to turn heads! ,Drape Neck Dress.,watches,119,USD,TRUE,,28/05/25,"Size,Color",9SM,JJ3WDXX,variant
701644351250M,701644351250M,Look your best in this drape neck dress. Sure to turn heads! ,Drape Neck Dress.,watches,119,USD,TRUE,,28/05/25,"Size,Color",9XL,JJ3WDXX,variant
701644353339M,701644353339M,You will love this pleated flare skirt! It goes with everything! ,Pleated Flare Skirt.,watches,129,USD,TRUE,,28/05/25,"Size,Color",010,JJE84XX,variant
701644353346M,701644353346M,You will love this pleated flare skirt! It goes with everything! ,Pleated Flare Skirt.,watches,129,USD,TRUE,,28/05/25,"Size,Color",012,JJE84XX,variant
701644353353M,701644353353M,You will love this pleated flare skirt! It goes with everything! ,Pleated Flare Skirt.,watches,129,USD,TRUE,,28/05/25,"Size,Color",014,JJE84XX,variant
701644353360M,701644353360M,You will love this pleated flare skirt! It goes with everything! ,Pleated Flare Skirt.,watches,129,USD,TRUE,,28/05/25,"Size,Color",016,JJE84XX,variant
701644353377M,701644353377M,You will love this pleated flare skirt! It goes with everything! ,Pleated Flare Skirt.,watches,129,USD,TRUE,,28/05/25,"Size,Color",004,JJE84XX,variant
701644353384M,701644353384M,You will love this pleated flare skirt! It goes with everything! ,Pleated Flare Skirt.,watches,129,USD,TRUE,,28/05/25,"Size,Color",006,JJE84XX,variant
701644353391M,701644353391M,You will love this pleated flare skirt! It goes with everything! ,Pleated Flare Skirt.,watches,129,USD,TRUE,,28/05/25,"Size,Color",008,JJE84XX,variant
701644354800M,701644354800M,This sleeveless twist front knit top will become this seasons go -to piece. This looks great with any bottom! ,Sleeveless Twist Front Knit Top.,watches,64,USD,TRUE,,28/05/25,"Size,Color",9LG,JJ493XX,variant
701644354817M,701644354817M,This sleeveless twist front knit top will become this seasons go -to piece. This looks great with any bottom! ,Sleeveless Twist Front Knit Top.,watches,64,USD,TRUE,,28/05/25,"Size,Color",9MD,JJ493XX,variant
701644354824M,701644354824M,This sleeveless twist front knit top will become this seasons go -to piece. This looks great with any bottom! ,Sleeveless Twist Front Knit Top.,watches,64,USD,TRUE,,28/05/25,"Size,Color",9SM,JJ493XX,variant
701644354831M,701644354831M,This sleeveless twist front knit top will become this seasons go -to piece. This looks great with any bottom! ,Sleeveless Twist Front Knit Top.,watches,64,USD,TRUE,,28/05/25,"Size,Color",9XL,JJ493XX,variant
701644355128M,701644355128M,Ivory looks great with black pants! Dress up with Commerce Cloud Store jewelry. ,Belted Short Sleeve Knit Top.,watches,74,USD,TRUE,,28/05/25,"Size,Color",9LG,JJ5AAXX,variant
701644355135M,701644355135M,Ivory looks great with black pants! Dress up with Commerce Cloud Store jewelry. ,Belted Short Sleeve Knit Top.,watches,74,USD,TRUE,,28/05/25,"Size,Color",9MD,JJ5AAXX,variant
701644355142M,701644355142M,Ivory looks great with black pants! Dress up with Commerce Cloud Store jewelry. ,Belted Short Sleeve Knit Top.,watches,74,USD,TRUE,,28/05/25,"Size,Color",9SM,JJ5AAXX,variant
701644355159M,701644355159M,Ivory looks great with black pants! Dress up with Commerce Cloud Store jewelry. ,Belted Short Sleeve Knit Top.,watches,74,USD,TRUE,,28/05/25,"Size,Color",9XL,JJ5AAXX,variant
701644356200M,701644356200M,Take it easy in our short sleeve cowl neck shirt great for weekend wear. ,Sleeveless Cowl Neck Knit.,watches,74,USD,TRUE,,28/05/25,"Size,Color",9LG,JJ3WCXX,variant
701644356217M,701644356217M,Take it easy in our short sleeve cowl neck shirt great for weekend wear. ,Sleeveless Cowl Neck Knit.,watches,74,USD,TRUE,,28/05/25,"Size,Color",9MD,JJ3WCXX,variant
701644356224M,701644356224M,Take it easy in our short sleeve cowl neck shirt great for weekend wear. ,Sleeveless Cowl Neck Knit.,watches,74,USD,TRUE,,28/05/25,"Size,Color",9SM,JJ3WCXX,variant
701644356231M,701644356231M,Take it easy in our short sleeve cowl neck shirt great for weekend wear. ,Sleeveless Cowl Neck Knit.,watches,74,USD,TRUE,,28/05/25,"Size,Color",9XL,JJ3WCXX,variant
701644358754M,701644358754M,A cardigan is this season's must have for chilly nights! ,3/4 Sleeve Zip Cardigan.,watches,109,USD,TRUE,,28/05/25,"Size,Color",9LG,JJ3WDXX,variant
701644358761M,701644358761M,A cardigan is this season's must have for chilly nights! ,3/4 Sleeve Zip Cardigan.,watches,109,USD,TRUE,,28/05/25,"Size,Color",9MD,JJ3WDXX,variant
701644358778M,701644358778M,A cardigan is this season's must have for chilly nights! ,3/4 Sleeve Zip Cardigan.,watches,109,USD,TRUE,,28/05/25,"Size,Color",9SM,JJ3WDXX,variant
701644358785M,701644358785M,A cardigan is this season's must have for chilly nights! ,3/4 Sleeve Zip Cardigan.,watches,109,USD,TRUE,,28/05/25,"Size,Color",9XL,JJ3WDXX,variant
701644358792M,701644358792M,You will love this sleeveless shell alone or with it's matching cardigan. ,Sleeveless Shell.,watches,79,USD,TRUE,,28/05/25,"Size,Color",9LG,JJ3WDXX,variant
701644358808M,701644358808M,You will love this sleeveless shell alone or with it's matching cardigan. ,Sleeveless Shell.,watches,79,USD,TRUE,,28/05/25,"Size,Color",9MD,JJ3WDXX,variant
701644358815M,701644358815M,You will love this sleeveless shell alone or with it's matching cardigan. ,Sleeveless Shell.,watches,79,USD,TRUE,,28/05/25,"Size,Color",9SM,JJ3WDXX,variant
701644358822M,701644358822M,You will love this sleeveless shell alone or with it's matching cardigan. ,Sleeveless Shell.,watches,79,USD,TRUE,,28/05/25,"Size,Color",9XL,JJ3WDXX,variant
701644358952M,701644358952M,This sleeveless sheath dress is a classic piece for your suiting collection year round. Matched with any suit jacket solid or patterned you look professional and sharp. Create a feminine and soft look sporting this piece on its own or with a colorful wrap. ,Boat Neck Sleeveless Sheath Dress.,watches,119,USD,TRUE,,28/05/25,"Size,Color",9LG,JJ3WCXX,variant
883360525419M,883360525419M,97% cotton 3% elastaneflat frontfront pockets and besom back pockets                        zip fly and covered hook and eye closurefront rise 10 3/4 inchesback rise 15 1/4 inchesleg opening 15 inchesinseam 33 inchesmeasurements taken from a size 32dry clean only,Slim Fit Pants,jewelry,50,USD,TRUE,,28/05/25,"Size,Color",30,B7H,variant
883360525426M,883360525426M,97% cotton 3% elastaneflat frontfront pockets and besom back pockets                        zip fly and covered hook and eye closurefront rise 10 3/4 inchesback rise 15 1/4 inchesleg opening 15 inchesinseam 33 inchesmeasurements taken from a size 32dry clean only,Slim Fit Pants,jewelry,175,USD,TRUE,,28/05/25,"Size,Color",31,B7H,variant
883360525433M,883360525433M,97% cotton 3% elastaneflat frontfront pockets and besom back pockets                        zip fly and covered hook and eye closurefront rise 10 3/4 inchesback rise 15 1/4 inchesleg opening 15 inchesinseam 33 inchesmeasurements taken from a size 32dry clean only,Slim Fit Pants,jewelry,175,USD,TRUE,,28/05/25,"Size,Color",32,B7H,variant
883360525440M,883360525440M,97% cotton 3% elastaneflat frontfront pockets and besom back pockets                        zip fly and covered hook and eye closurefront rise 10 3/4 inchesback rise 15 1/4 inchesleg opening 15 inchesinseam 33 inchesmeasurements taken from a size 32dry clean only,Slim Fit Pants,jewelry,175,USD,TRUE,,28/05/25,"Size,Color",33,B7H,variant
883360525457M,883360525457M,97% cotton 3% elastaneflat frontfront pockets and besom back pockets                        zip fly and covered hook and eye closurefront rise 10 3/4 inchesback rise 15 1/4 inchesleg opening 15 inchesinseam 33 inchesmeasurements taken from a size 32dry clean only,Slim Fit Pants,jewelry,175,USD,TRUE,,28/05/25,"Size,Color",34,B7H,variant
883360525471M,883360525471M,97% cotton 3% elastaneflat frontfront pockets and besom back pockets                        zip fly and covered hook and eye closurefront rise 10 3/4 inchesback rise 15 1/4 inchesleg opening 15 inchesinseam 33 inchesmeasurements taken from a size 32dry clean only,Slim Fit Pants,jewelry,175,USD,TRUE,,28/05/25,"Size,Color",38,B7H,variant
883360525488M,883360525488M,97% cotton 3% elastaneflat frontfront pockets and besom back pockets                        zip fly and covered hook and eye closurefront rise 10 3/4 inchesback rise 15 1/4 inchesleg opening 15 inchesinseam 33 inchesmeasurements taken from a size 32dry clean only,Slim Fit Pants,jewelry,175,USD,TRUE,,28/05/25,"Size,Color",40,B7H,variant
883360541068M,883360541068M,70% cotton 30% polyestershort bomber jacketstand up collar with tab and button detailingfront zip closurestrip elastic hem detailingdry clean only,Summer Bomber Jacket,jewelry,315,USD,TRUE,,28/05/25,"Size,Color",XS,001,variant
883360541075M,883360541075M,70% cotton 30% polyestershort bomber jacketstand up collar with tab and button detailingfront zip closurestrip elastic hem detailingdry clean only,Summer Bomber Jacket,jewelry,315,USD,TRUE,,28/05/25,"Size,Color",S,001,variant
883360541082M,883360541082M,70% cotton 30% polyestershort bomber jacketstand up collar with tab and button detailingfront zip closurestrip elastic hem detailingdry clean only,Summer Bomber Jacket,jewelry,315,USD,TRUE,,28/05/25,"Size,Color",M,001,variant
883360541099M,883360541099M,70% cotton 30% polyestershort bomber jacketstand up collar with tab and button detailingfront zip closurestrip elastic hem detailingdry clean only,Summer Bomber Jacket,jewelry,315,USD,TRUE,,28/05/25,"Size,Color",L,001,variant
883360541259M,883360541259M,85% cotton 11% poly amid 4% elastanetwo-buttonhalf lineddouble vented with welt pocketsinside vertical pocketfunctional button cuffsdry clean only,Two Button Sport Coat,jewelry,475,USD,TRUE,,28/05/25,"Size,Color",36,P2V,variant
